uncertainty,seed,P,T_star,human_baseline,deadline,beats_human,meets_deadline,solver_status
0.30,56,6,38.05,76,40,true,true,OPTIMAL
0.30,56,8,38.05,76,40,true,true,OPTIMAL
0.30,57,1,55.05,76,40,true,false,OPTIMAL
0.30,57,2,37.80,76,40,true,true,OPTIMAL
0.30,57,3,37.80,76,40,true,true,OPTIMAL
0.30,57,4,37.80,76,40,true,true,OPTIMAL
0.30,57,6,37.80,76,40,true,true,OPTIMAL
0.30,57,8,37.80,76,40,true,true,OPTIMAL
0.30,58,1,51.55,76,40,true,false,OPTIMAL
0.30,58,2,33.15,76,40,true,true,OPTIMAL
0.30,58,3,33.15,76,40,true,true,OPTIMAL
0.30,58,4,33.15,76,40,true,true,OPTIMAL
0.30,58,6,33.15,76,40,true,true,OPTIMAL
0.30,58,8,33.15,76,40,true,true,OPTIMAL
0.30,59,1,57.15,76,40,true,false,OPTIMAL
0.30,59,2,38.65,76,40,true,true,OPTIMAL
0.30,59,3,38.65,76,40,true,true,OPTIMAL
0.30,59,4,38.65,76,40,true,true,OPTIMAL
0.30,59,6,38.65,76,40,true,true,OPTIMAL
0.30,59,8,38.65,76,40,true,true,OPTIMAL
0.30,60,1,52.50,76,40,true,false,OPTIMAL
0.30,60,2,36.35,76,40,true,true,OPTIMAL
0.30,60,3,36.35,76,40,true,true,OPTIMAL
0.30,60,4,36.35,76,40,true,true,OPTIMAL
0.30,60,6,36.35,76,40,true,true,OPTIMAL
0.30,60,8,36.35,76,40,true,true,OPTIMAL
0.30,61,1,51.95,76,40,true,false,OPTIMAL
0.30,61,2,35.40,76,40,true,true,OPTIMAL
0.30,61,3,35.40,76,40,true,true,OPTIMAL
0.30,61,4,35.40,76,40,true,true,OPTIMAL
0.30,61,6,35.40,76,40,true,true,OPTIMAL
0.30,61,8,35.40,76,40,true,true,OPTIMAL
0.30,62,1,53.45,76,40,true,false,OPTIMAL
0.30,62,2,37.10,76,40,true,true,OPTIMAL
0.30,62,3,37.10,76,40,true,true,OPTIMAL
0.30,62,4,37.10,76,40,true,true,OPTIMAL
0.30,62,6,37.10,76,40,true,true,OPTIMAL
0.30,62,8,37.10,76,40,true,true,OPTIMAL
0.30,63,1,49.85,76,40,true,false,OPTIMAL
0.30,63,2,33.00,76,40,true,true,OPTIMAL
0.30,63,3,33.00,76,40,true,true,OPTIMAL
0.30,63,4,33.00,76,40,true,true,OPTIMAL
0.30,63,6,33.00,76,40,true,true,OPTIMAL
0.30,63,8,33.00,76,40,true,true,OPTIMAL
0.30,64,1,53.10,76,40,true,false,OPTIMAL
0.30,64,2,36.00,76,40,true,true,OPTIMAL
0.30,64,3,36.00,76,40,true,true,OPTIMAL
0.30,64,4,36.00,76,40,true,true,OPTIMAL
0.30,64,6,36.00,76,40,true,true,OPTIMAL
0.30,64,8,36.00,76,40,true,true,OPTIMAL
0.30,65,1,52.80,76,40,true,false,OPTIMAL
0.30,65,2,36.00,76,40,true,true,OPTIMAL
0.30,65,3,36.00,76,40,true,true,OPTIMAL
0.30,65,4,36.00,76,40,true,true,OPTIMAL
0.30,65,6,36.00,76,40,true,true,OPTIMAL
0.30,65,8,36.00,76,40,true,true,OPTIMAL
0.30,66,1,50.20,76,40,true,false,OPTIMAL
0.30,66,2,33.80,76,40,true,true,OPTIMAL
0.30,66,3,33.80,76,40,true,true,OPTIMAL
0.30,66,4,33.80,76,40,true,true,OPTIMAL
0.30,66,6,33.80,76,40,true,true,OPTIMAL
0.30,66,8,33.80,76,40,true,true,OPTIMAL
0.30,67,1,53.20,76,40,true,false,OPTIMAL
0.30,67,2,39.95,76,40,true,true,OPTIMAL
0.30,67,3,39.95,76,40,true,true,OPTIMAL
0.30,67,4,39.95,76,40,true,true,OPTIMAL
0.30,67,6,39.95,76,40,true,true,OPTIMAL
0.30,67,8,39.95,76,40,true,true,OPTIMAL
0.30,68,1,53.85,76,40,true,false,OPTIMAL
0.30,68,2,35.85,76,40,true,true,OPTIMAL
0.30,68,3,35.85,76,40,true,true,OPTIMAL
0.30,68,4,35.85,76,40,true,true,OPTIMAL
0.30,68,6,35.85,76,40,true,true,OPTIMAL
0.30,68,8,35.85,76,40,true,true,OPTIMAL
0.30,69,1,52.80,76,40,true,false,OPTIMAL
0.30,69,2,36.20,76,40,true,true,OPTIMAL
0.30,69,3,36.20,76,40,true,true,OPTIMAL
0.30,69,4,36.20,76,40,true,true,OPTIMAL
0.30,69,6,36.20,76,40,true,true,OPTIMAL
0.30,69,8,36.20,76,40,true,true,OPTIMAL
0.30,70,1,52.45,76,40,true,false,OPTIMAL
0.30,70,2,37.65,76,40,true,true,OPTIMAL
0.30,70,3,37.65,76,40,true,true,OPTIMAL
0.30,70,4,37.65,76,40,true,true,OPTIMAL
0.30,70,6,37.65,76,40,true,true,OPTIMAL
0.30,70,8,37.65,76,40,true,true,OPTIMAL
0.30,71,1,51.20,76,40,true,false,OPTIMAL
0.30,71,2,36.50,76,40,true,true,OPTIMAL
0.30,71,3,36.50,76,40,true,true,OPTIMAL
0.30,71,4,36.50,76,40,true,true,OPTIMAL
0.30,71,6,36.50,76,40,true,true,OPTIMAL
0.30,71,8,36.50,76,40,true,true,OPTIMAL
0.30,72,1,54.30,76,40,true,false,OPTIMAL
0.30,72,2,37.00,76,40,true,true,OPTIMAL
0.30,72,3,37.00,76,40,true,true,OPTIMAL
0.30,72,4,37.00,76,40,true,true,OPTIMAL
0.30,72,6,37.00,76,40,true,true,OPTIMAL
0.30,72,8,37.00,76,40,true,true,OPTIMAL
0.30,73,1,49.95,76,40,true,false,OPTIMAL
0.30,73,2,34.90,76,40,true,true,OPTIMAL
0.30,73,3,34.90,76,40,true,true,OPTIMAL
0.30,73,4,34.90,76,40,true,true,OPTIMAL
0.30,73,6,34.90,76,40,true,true,OPTIMAL
0.30,73,8,34.90,76,40,true,true,OPTIMAL
0.30,74,1,51.95,76,40,true,false,OPTIMAL
0.30,74,2,35.50,76,40,true,true,OPTIMAL
0.30,74,3,35.50,76,40,true,true,OPTIMAL
0.30,74,4,35.50,76,40,true,true,OPTIMAL
0.30,74,6,35.50,76,40,true,true,OPTIMAL
0.30,74,8,35.50,76,40,true,true,OPTIMAL
0.30,75,1,52.05,76,40,true,false,OPTIMAL
0.30,75,2,35.65,76,40,true,true,OPTIMAL
0.30,75,3,35.65,76,40,true,true,OPTIMAL
0.30,75,4,35.65,76,40,true,true,OPTIMAL
0.30,75,6,35.65,76,40,true,true,OPTIMAL
0.30,75,8,35.65,76,40,true,true,OPTIMAL
0.30,76,1,49.90,76,40,true,false,OPTIMAL
0.30,76,2,33.45,76,40,true,true,OPTIMAL
0.30,76,3,33.45,76,40,true,true,OPTIMAL
0.30,76,4,33.45,76,40,true,true,OPTIMAL
0.30,76,6,33.45,76,40,true,true,OPTIMAL
0.30,76,8,33.45,76,40,true,true,OPTIMAL
0.30,77,1,49.65,76,40,true,false,OPTIMAL
0.30,77,2,33.65,76,40,true,true,OPTIMAL
0.30,77,3,33.65,76,40,true,true,OPTIMAL
0.30,77,4,33.65,76,40,true,true,OPTIMAL
0.30,77,6,33.65,76,40,true,true,OPTIMAL
0.30,77,8,33.65,76,40,true,true,OPTIMAL
0.30,78,1,50.15,76,40,true,false,OPTIMAL
0.30,78,2,33.90,76,40,true,true,OPTIMAL
0.30,78,3,33.90,76,40,true,true,OPTIMAL
0.30,78,4,33.90,76,40,true,true,OPTIMAL
0.30,78,6,33.90,76,40,true,true,OPTIMAL
0.30,78,8,33.90,76,40,true,true,OPTIMAL
0.30,79,1,49.50,76,40,true,false,OPTIMAL
0.30,79,2,32.35,76,40,true,true,OPTIMAL
0.30,79,3,32.35,76,40,true,true,OPTIMAL
0.30,79,4,32.35,76,40,true,true,OPTIMAL
0.30,79,6,32.35,76,40,true,true,OPTIMAL
0.30,79,8,32.35,76,40,true,true,OPTIMAL
0.30,80,1,53.20,76,40,true,false,OPTIMAL
0.30,80,2,35.05,76,40,true,true,OPTIMAL
0.30,80,3,35.05,76,40,true,true,OPTIMAL
0.30,80,4,35.05,76,40,true,true,OPTIMAL
0.30,80,6,35.05,76,40,true,true,OPTIMAL
0.30,80,8,35.05,76,40,true,true,OPTIMAL
0.30,81,1,51.75,76,40,true,false,OPTIMAL
0.30,81,2,36.35,76,40,true,true,OPTIMAL
0.30,81,3,36.35,76,40,true,true,OPTIMAL
0.30,81,4,36.35,76,40,true,true,OPTIMAL
0.30,81,6,36.35,76,40,true,true,OPTIMAL
0.30,81,8,36.35,76,40,true,true,OPTIMAL
0.30,82,1,54.65,76,40,true,false,OPTIMAL
