experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-06A,exp06a_practical_variant_3_k100,exact,10.50,11.50,1.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,exact,11.50,12.10,0.60,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,12.10,13.60,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,13.60,15.60,2.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,15.60,16.60,1.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,exact,16.60,20.20,3.60,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,exact,20.20,21.20,1.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,exact,21.20,24.40,3.20,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,24.40,26.40,2.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,26.40,27.90,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,27.90,33.90,6.00,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,33.90,35.40,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,35.40,36.90,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,36.90,41.70,4.80,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,exact,41.70,43.20,1.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,0,2.0,2.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,2.0,8.4,6.4,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,8.4,10.4,2.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,10.4,13.4,3.0,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,13.4,15.4,2.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,15.4,21.0,5.6,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,21.0,23.0,2.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,23.0,24.2,1.2,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,24.2,25.0,0.8,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,25.0,28.0,3.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,28.0,32.0,4.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,32.0,32.2,0.2,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,32.2,34.2,2.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,34.2,49.6,15.4,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,49.6,53.6,4.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,53.6,56.6,3.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,56.6,68.6,12.0,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,68.6,71.6,3.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,71.6,74.6,3.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,74.6,84.2,9.6,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,baseline,84.2,87.2,3.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,0,2.00,2.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,2.00,8.40,6.40,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,8.40,10.40,2.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,10.40,13.40,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,13.40,15.40,2.00,1,1,0,2,2,false
