experiment_id,stream,namespace,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,attempt,raw_seed,accepted,reason,rho_l,longest_path_count,rho_h_low,rho_h_high
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_10,n8_mixed_homogeneous,8,mixed,homogeneous,medium,10,0,7609083141875536751,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_11,n8_mixed_homogeneous,8,mixed,homogeneous,medium,11,0,1795944163446817707,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_12,n8_mixed_homogeneous,8,mixed,homogeneous,medium,12,0,12668337644675453489,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_13,n8_mixed_homogeneous,8,mixed,homogeneous,medium,13,0,1299947943453280068,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_14,n8_mixed_homogeneous,8,mixed,homogeneous,medium,14,0,9666148923517923194,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_15,n8_mixed_homogeneous,8,mixed,homogeneous,medium,15,0,4531584966561650045,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_16,n8_mixed_homogeneous,8,mixed,homogeneous,medium,16,0,6162200245899267852,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_17,n8_mixed_homogeneous,8,mixed,homogeneous,medium,17,0,13808001144263214096,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_18,n8_mixed_homogeneous,8,mixed,homogeneous,medium,18,0,604775281229634550,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_homogeneous_19,n8_mixed_homogeneous,8,mixed,homogeneous,medium,19,0,15020462591522795172,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_00,n8_mixed_lognormal,8,mixed,lognormal,medium,0,0,7597499555203554628,true,accepted_all_structural_and_allocator_checks,0.5789473684210526315789473684,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_01,n8_mixed_lognormal,8,mixed,lognormal,medium,1,0,12719848593774488246,true,accepted_all_structural_and_allocator_checks,0.55,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_02,n8_mixed_lognormal,8,mixed,lognormal,medium,2,0,2385896802933236874,true,accepted_all_structural_and_allocator_checks,0.5,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_03,n8_mixed_lognormal,8,mixed,lognormal,medium,3,0,9249393559387659527,true,accepted_all_structural_and_allocator_checks,0.55,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_04,n8_mixed_lognormal,8,mixed,lognormal,medium,4,0,11796485122656923586,false,rho_l_outside_target_bin,0.625,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_04,n8_mixed_lognormal,8,mixed,lognormal,medium,4,1,13106457948978540458,false,rho_l_outside_target_bin,0.625,3,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_04,n8_mixed_lognormal,8,mixed,lognormal,medium,4,2,2776681514126779243,false,rho_l_outside_target_bin,0.6666666666666666666666666667,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_04,n8_mixed_lognormal,8,mixed,lognormal,medium,4,3,12808276295653907432,true,accepted_all_structural_and_allocator_checks,0.5,3,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_05,n8_mixed_lognormal,8,mixed,lognormal,medium,5,0,12481410590633757536,false,rho_l_outside_target_bin,0.7368421052631578947368421053,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_05,n8_mixed_lognormal,8,mixed,lognormal,medium,5,1,3948437565595939425,false,rho_l_outside_target_bin,0.625,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_05,n8_mixed_lognormal,8,mixed,lognormal,medium,5,2,5864854980666332031,true,accepted_all_structural_and_allocator_checks,0.5263157894736842105263157895,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_06,n8_mixed_lognormal,8,mixed,lognormal,medium,6,0,14801129365851480439,true,accepted_all_structural_and_allocator_checks,0.55,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_07,n8_mixed_lognormal,8,mixed,lognormal,medium,7,0,4682939763792578916,true,accepted_all_structural_and_allocator_checks,0.5833333333333333333333333333,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_08,n8_mixed_lognormal,8,mixed,lognormal,medium,8,0,3915775244168468202,true,accepted_all_structural_and_allocator_checks,0.5454545454545454545454545455,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,0,16108775707179317677,false,rho_l_outside_target_bin,0.7333333333333333333333333333,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,1,13592996387111064937,false,rho_l_outside_target_bin,0.6,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,2,627212560280182181,false,rho_l_outside_target_bin,0.64,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,3,9155463153344734285,false,rho_l_outside_target_bin,0.6190476190476190476190476190,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,4,10857445859728182454,false,rho_l_outside_target_bin,0.7142857142857142857142857143,1,,
