claim,metric,estimator,dag_id,task_count,topology_family,weight_type,rho_l_bin,human_concentration_bin,observation_seed,paired_effect,detail
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s04,8,wide_layered,homogeneous,low,medium,4,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s04,8,wide_layered,homogeneous,low,medium,4,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s04,8,wide_layered,homogeneous,low,medium,4,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s04,8,wide_layered,homogeneous,low,medium,4,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s04,8,wide_layered,homogeneous,low,medium,4,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s05,8,wide_layered,homogeneous,low,medium,5,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s05,8,wide_layered,homogeneous,low,medium,5,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s05,8,wide_layered,homogeneous,low,medium,5,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s05,8,wide_layered,homogeneous,low,medium,5,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s05,8,wide_layered,homogeneous,low,medium,5,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s06,8,wide_layered,homogeneous,low,medium,6,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s06,8,wide_layered,homogeneous,low,medium,6,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s06,8,wide_layered,homogeneous,low,medium,6,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s06,8,wide_layered,homogeneous,low,medium,6,1.2000,gain_P1=0.0000; gain_P4=1.2000
