experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-05,exp05_p01_m02_ro100_lh05,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro100_lh05,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro100_lh05,exact,18.00000,20.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro100_lh05,exact,20.25000,33.75000,13.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro100_lh05,exact,33.75000,36.00000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro100_lh05,exact,36.00000,37.80000,1.80000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro100_lh05,exact,37.80000,47.10000,9.30000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro100_lh05,exact,47.10000,48.90000,1.80000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro100_lh05,exact,48.90000,58.20000,9.30000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro100_lh05,exact,58.20000,58.80000,0.60000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro100_lh05,exact,58.80000,62.40000,3.60000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,18.00,20.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,20.25,33.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,33.75,36.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,36.00,37.00,1.00,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,37.00,43.00,6.00,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,43.00,44.00,1.00,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,44.00,50.00,6.00,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,50.00,51.00,1.00,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,baseline,51.00,57.00,6.00,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,baseline,57.00,60.00,3.00,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,0,1.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,1.50000,10.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,12.00000,12.75000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro000_lh00,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,18.00000,20.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro000_lh00,exact,20.25000,33.75000,13.50000,1,0,0,1,0,false
