experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,2,specification,1,human,1.300,1.675,0.375,1.300,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,2,implementation,1,agent,1.675,3.025,1.350,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,2,review,1,human,3.125,3.500,0.375,3.025,0.100
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,3,specification,1,human,3.500,4.000,0.500,3.500,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,3,implementation,1,agent,4.000,6.200,2.200,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,3,review,1,human,6.200,6.700,0.500,6.200,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,4,specification,1,human,6.700,7.075,0.375,6.700,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,4,implementation,1,agent,7.075,8.575,1.500,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,4,review,1,human,8.575,8.950,0.375,8.575,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,5,specification,2,human,1.675,1.925,0.250,1.300,0.375
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,5,implementation,2,agent,1.925,2.625,0.700,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,5,review,2,human,2.625,2.875,0.250,2.625,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,6a,specification,2,human,7.075,7.200,0.125,6.700,0.375
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,6a,implementation,2,agent,7.200,7.600,0.400,,0
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,6a,review,2,human,7.600,7.725,0.125,7.600,0.000
EXP-06A,exp06a_practical_variant_4_k025,baseline,phase,6b,specification,3,human,4.000,4.1875,0.1875,3.500,0.500
