experiment_id,scenario_id,scenario_sha256,object_id,phase_profile,regime_id,slice_id,policy_id,agent_count,human_share,c_model,C,gamma_model,gamma,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,exact_makespan,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,exact_queue,exact_blocked_any,exact_max_human_queue,exact_agent_productive_utilization,exact_agent_slot_utilization,exact_human_utilization,baseline_makespan,baseline_gap_to_optimum,baseline_relative_gap,baseline_queue,baseline_blocked_any,baseline_max_human_queue,baseline_agent_productive_utilization,baseline_agent_slot_utilization,baseline_human_utilization,delta_T_star_to_next_P,delta_baseline_to_next_P
EXP-02,exp02_practical_v4_c0_g1_rh25_p08,233bd42168034b4ec8b0b8d5e551eeb80a99b1b824e00054203440f8b2a50bb5,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,8,0.25,C0,1,gamma1,1.70,62.9800000,43.1225000,7.8725000,22.7800000,43.1225000,critical_path,1->2->3->4->6c,OPTIMAL,43.12250,43.12250,43.122500,0.0,0.003690,0.0000000,0.000000,1.63625,1.63625,1,0.116528,0.187304,0.528263,43.6525000,0.5300000,0.012291,8.0812500,7.7762500,2,0.115114,0.203486,0.521849,-3.67000,-4.4300000
EXP-02,exp02_practical_v4_c0_g1_rh25_p12,a108a219fa55bc20734471667e0e2823f30e3a4538e6df81a3326b8b5b6d2ec6,practical_v4,io,c0_g1_rh25,human_switching,bottom_level_fcfs_v1,12,0.25,C0,1,gamma1,2.10,68.3400000,46.7925000,5.6950000,28.1400000,46.7925000,critical_path,1->2->3->4->6c,OPTIMAL,46.79250,46.79250,46.792500,0.0,0.004115,0.0000000,0.000000,1.72125,1.72125,1,0.071593,0.124773,0.601378,48.0825000,1.2900000,0.027569,11.6062500,10.2412500,2,0.069672,0.138557,0.585244,,
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p01,9873a28c277549dcd69aab55abc4f1f2b93914aa0bf152c6d502ba68f045b457,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,1,0.10,C0,1,gamma0,1,60.00,48.00,60.00,6.00,60.00,work,t01->t03->t04,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.001328,0.00000,0.000000,0,0,0,0.900000,1.000000,0.100000,60.00,0.00000,0.000000,0,0,0,0.900000,1.000000,0.100000,12.00000,12.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p02,dd14f7aa356faa3b7b569074cdece118059727ee930cfce5bd8de45794514068,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,2,0.10,C0,1,gamma0,1,60.00,48.00,30.00,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.002768,0.00000,0.000000,0,0,0,0.562500,0.625000,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.562500,0.629688,0.125000,0.00000,0.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p03,0d25eb42fee81995a060cc3fbd2a133698889d9120f8952194f254043b4055f5,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,3,0.10,C0,1,gamma0,1,60.00,48.00,20.00,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.003086,0.00000,0.000000,0,0,0,0.375000,0.416667,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.375000,0.419792,0.125000,0.00000,0.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p04,130ac14e27f0fb3bda639924b60d699669e9b056cdec5d67d3c0dce041bbbb5a,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,4,0.10,C0,1,gamma0,1,60.00,48.00,15.00,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.002790,0.00000,0.000000,0,0,0,0.281250,0.312500,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.281250,0.314844,0.125000,0.00000,0.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p06,3519405808f098425ba9aeffc327433268c0388e4038bf914c84b5015dcdf8a3,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,6,0.10,C0,1,gamma0,1,60.00,48.00,10.00,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.002972,0.00000,0.000000,0,0,0,0.187500,0.208333,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.187500,0.209896,0.125000,0.00000,0.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p08,2c6d977f08f9819e92cdaaacb74a313ce75c066d7c732c289230ac033267bcf9,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,8,0.10,C0,1,gamma0,1,60.00,48.00,7.50,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.003071,0.00000,0.000000,0,0,0,0.140625,0.156250,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.140625,0.157422,0.125000,0.00000,0.00
EXP-02,exp02_fork_join_n4_c0_g0_rh10_p12,d768aec5b39de8b3816797c25368a0b25c9514f22616f046c8f802082817d21a,fork_join_n4,alternating_sync,c0_g0_rh10,human_share,bottom_level_fcfs_v1,12,0.10,C0,1,gamma0,1,60.00,48.00,5.00,6.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.00000,48.00000,48.000000,0.0,0.003421,0.00000,0.000000,0,0,0,0.093750,0.104167,0.125000,48.00,0.00000,0.000000,0.45,0.45,1,0.093750,0.104948,0.125000,,
EXP-02,exp02_fork_join_n4_c0_g0_rh25_p01,4f5ecabcd76fdf57e0461fd3bba7f668ae2201f4b9af08ee683bb6d7519be0c0,fork_join_n4,alternating_sync,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,1,0.25,C0,1,gamma0,1,60.00,48.00,60.00,15.00,60.00,work,t01->t03->t04,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.001319,0.00000,0.000000,0,0,0,0.750000,1.000000,0.250000,60.000,0.00000,0.000000,0,0,0,0.750000,1.000000,0.250000,12.00000,12.000
