experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t02,agent_3,1,agent,16.875,18.375,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t02,human_4,1,human,18.375,19.125,0.750,18.375,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,human_1,2,human,6.000,7.125,1.125,6.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,agent_1,2,agent,7.125,13.875,6.750,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,human_2,2,human,13.875,15.000,1.125,13.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,agent_2,2,agent,15.000,17.250,2.250,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,human_3,2,human,17.250,18.375,1.125,17.250,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,agent_3,2,agent,18.375,22.875,4.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t03,human_4,2,human,22.875,24.000,1.125,22.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,human_1,2,human,24.000,25.500,1.500,24.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,agent_1,2,agent,25.500,28.500,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,human_2,2,human,28.500,30.000,1.500,28.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,agent_2,2,agent,30.000,36.000,6.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,human_3,2,human,36.000,37.500,1.500,36.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,agent_3,2,agent,37.500,46.500,9.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,exact,phase,t04,human_4,2,human,46.500,48.000,1.500,46.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t01,human_1,1,human,0,1.50,1.50,0,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t01,agent_1,1,agent,1.50,4.50,3.00,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t01,human_2,1,human,4.50,6.00,1.50,4.50,0.00
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t02,human_1,2,human,10.50,13.50,3.00,6.00,4.50
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t02,agent_1,2,agent,13.50,19.50,6.00,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t02,human_2,2,human,24.00,27.00,3.00,19.50,4.50
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t03,human_1,1,human,6.00,10.50,4.50,6.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t03,agent_1,1,agent,10.50,19.50,9.00,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t03,human_2,1,human,19.50,24.00,4.50,19.50,0.00
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t04,human_1,1,human,27.00,33.00,6.00,27.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t04,agent_1,1,agent,33.00,45.00,12.00,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,phase,t04,human_2,1,human,45.00,51.00,6.00,45.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,wait,t02,human_1,2,human_queue,6.00,10.50,4.50,6.00,4.50
EXP-03,exp03_fork_join_n4_p2_rh50_io,baseline,wait,t02,human_2,2,human_queue,19.50,24.00,4.50,19.50,4.50
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t01,human_1,2,human,0.000,1.500,1.500,0.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t01,agent_1,2,agent,1.500,4.500,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t01,human_2,2,human,4.500,6.000,1.500,4.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t02,human_1,1,human,10.500,13.500,3.000,10.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t02,agent_1,1,agent,13.500,19.500,6.000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t02,human_2,1,human,24.000,27.000,3.000,19.500,4.500
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t03,human_1,2,human,6.000,10.500,4.500,6.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t03,agent_1,2,agent,10.500,19.500,9.000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t03,human_2,2,human,19.500,24.000,4.500,19.500,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t04,human_1,2,human,27.000,33.000,6.000,27.000,0.000
